Tag ID,Date capture,Start hour,status_date
567,22/06/2021,23:59:59,25/08/2021
568,22/06/2021,23:59:59,24/08/2021
680,22/02/2022,23:59:59,02/06/2022
682,22/02/2022,23:59:59,23/07/2022
